,ID,Name,HashName,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,notes,_merge
269,140,"William ""Bill"" Abbott Jr.",aba7d8d0992f2b3b6e46b1831df764994ff8ffbf6c898f4d67076192319577a0,M,42.0,172.0,80.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,,Canada,,both
270,140,"William ""Bill"" Abbott Jr.",aba7d8d0992f2b3b6e46b1831df764994ff8ffbf6c898f4d67076192319577a0,M,46.0,172.0,80.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,,Canada,,both
279,146,Jeremy Abbott,70df8f4a81f7f3a99f3082f342cbc5abe1a94639746d6eefccafdef30e846faa,M,19.0,179.0,71.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,Canada,,both
280,147,Joanne Abbott,f88877baecbe8c235efe8ad5692bab36d2dc9e36091da03910651ef04234624e,F,41.0,160.0,57.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,,Canada,,both
281,148,"Kathryn ""Katie"" Abbott",6dbe76474f9fa17f0569120a314c2fb177ec51f05996eb4c336725ab27ef8366,F,21.0,164.0,63.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,,Canada,,both
285,152,Matt Abbott,46d6abe6bdba91ee0e944960573db4e3ea818b16e03ba1e5f7f027ad322193b2,M,34.0,185.0,91.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,,Canada,,both
474,259,Reema Abdo,f3eb8f100d0b78415d1cd632feaeaa9460a636623422e6982d2beee08f612d37,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,,Canada,,both
475,259,Reema Abdo,f3eb8f100d0b78415d1cd632feaeaa9460a636623422e6982d2beee08f612d37,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,,Canada,,both
476,259,Reema Abdo,f3eb8f100d0b78415d1cd632feaeaa9460a636623422e6982d2beee08f612d37,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Canada,,both
481,264,Justin Abdou,5abc46fd45303abf3098c0adf581dc171244b61002487f5237a61be423e1cdae,M,29.0,175.0,85.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,Canada,,both
